,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Tuktoyaktuk,CA,69.4541,-133.0374,6.53,93,100,19.75,overcast clouds
1,Byron Bay,AU,-28.65,153.6167,71.49,85,99,10.6,overcast clouds
2,Mozarlandia,BR,-14.7447,-50.5706,77.25,79,100,1.68,overcast clouds
3,Tapiramuta,BR,-11.8472,-40.7914,79.14,55,73,5.59,broken clouds
4,Yakeshi,CN,49.2833,120.7333,16.36,85,100,2.01,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,67.3,65,47,17.72,scattered clouds
6,Lagoa,PT,39.05,-27.9833,65.23,73,100,20.76,overcast clouds
7,Fairbanks,US,64.8378,-147.7164,-6.09,74,1,0.0,mist
8,Rikitea,PF,-23.1203,-134.9692,72.36,66,9,8.63,clear sky
9,Hermanus,ZA,-34.4187,19.2345,72.9,59,0,14.32,clear sky
10,Schagen,NL,52.7875,4.7986,58.05,82,63,3.0,broken clouds
11,Kaitangata,NZ,-46.2817,169.8464,52.0,65,100,5.84,moderate rain
12,Samdrup Jongkhar,BT,26.9167,91.6167,57.97,74,0,4.83,clear sky
13,Ushuaia,AR,-54.8,-68.3,53.22,71,75,33.38,broken clouds
14,Busselton,AU,-33.65,115.3333,58.08,69,4,9.73,clear sky
15,Alofi,NU,-19.0595,-169.9187,76.89,94,1,4.61,clear sky
16,Awjilah,LY,29.1081,21.2869,78.28,23,7,4.32,clear sky
17,Iqaluit,CA,63.7506,-68.5145,22.73,67,90,11.99,light snow
18,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,75,6.91,light intensity drizzle
19,Dunedin,NZ,-45.8742,170.5036,54.81,66,100,3.0,overcast clouds
20,Inhambane,MZ,-23.865,35.3833,80.58,74,75,8.01,broken clouds
21,Capinopolis,BR,-18.6819,-49.5697,79.32,68,90,9.31,overcast clouds
22,Lompoc,US,34.6391,-120.4579,55.13,88,90,1.01,mist
23,Ust-Maya,RU,60.4167,134.5333,-19.48,100,99,0.96,overcast clouds
24,Georgetown,MY,5.4112,100.3354,84.15,79,40,5.99,moderate rain
25,Codrington,AU,-38.2667,141.9667,47.03,80,99,5.3,overcast clouds
26,Broome,US,42.2506,-75.833,38.05,72,64,3.0,broken clouds
27,Kapaa,US,22.0752,-159.319,73.72,69,75,4.61,broken clouds
28,Vyazemskiy,RU,47.5378,134.7525,20.08,94,89,2.17,overcast clouds
29,Bonavista,CA,48.6499,-53.1147,44.11,90,100,31.5,overcast clouds
30,Taft,IR,31.7471,54.2088,51.75,38,20,2.3,few clouds
31,Grand Gaube,MU,-20.0064,57.6608,81.0,66,5,5.01,light rain
32,Castro,BR,-24.7911,-50.0119,66.49,88,99,4.14,overcast clouds
33,Faanui,PF,-16.4833,-151.75,80.01,77,43,22.01,light rain
34,Vostok,RU,46.4856,135.8833,18.46,97,100,3.06,light snow
35,Bluff,NZ,-46.6,168.3333,57.16,69,100,14.74,overcast clouds
36,Pevek,RU,69.7008,170.3133,-1.16,83,32,8.21,scattered clouds
37,Santiago,CL,-33.4569,-70.6483,71.85,47,0,3.44,clear sky
38,Punta Arenas,CL,-53.15,-70.9167,50.11,71,75,20.71,light rain
39,East London,ZA,-33.0153,27.9116,68.94,73,20,16.11,few clouds
40,Qaanaaq,GL,77.484,-69.3632,-5.15,64,92,6.91,overcast clouds
41,Mikhaylovka,RU,50.06,43.2379,34.79,93,100,5.84,overcast clouds
42,San Carlos Park,US,26.4673,-81.8015,73.04,93,90,12.66,light rain
43,Thompson,CA,55.7435,-97.8558,19.56,93,90,2.3,overcast clouds
44,Lebu,CL,-37.6167,-73.65,59.2,75,14,14.76,few clouds
45,Hobart,AU,-42.8794,147.3294,53.46,86,90,5.75,overcast clouds
46,Chirongui,YT,-12.9319,45.1483,82.33,70,12,2.66,few clouds
47,Jamestown,US,42.097,-79.2353,34.72,99,100,11.01,light snow
48,Cabo San Lucas,MX,22.8909,-109.9124,72.52,82,1,9.22,clear sky
49,Jumla,NP,29.2747,82.1838,46.98,50,29,4.09,scattered clouds
50,Roald,NO,62.5833,6.1333,48.33,93,90,39.12,shower rain
51,Airai,TL,-8.9266,125.4092,63.73,93,100,1.21,overcast clouds
52,Half Moon Bay,US,37.4636,-122.4286,57.02,90,90,4.61,overcast clouds
53,Te Anau,NZ,-45.4167,167.7167,51.89,93,100,8.01,light rain
54,Tulun,RU,54.5611,100.5792,7.14,94,97,3.56,overcast clouds
55,Chulucanas,PE,-5.0925,-80.1625,74.1,64,84,3.11,broken clouds
56,Saint George,US,37.1041,-113.5841,57.54,50,29,3.06,scattered clouds
57,Tuatapere,NZ,-46.1333,167.6833,55.08,79,100,7.43,overcast clouds
58,Chapais,CA,49.7834,-74.8492,26.38,84,100,13.13,overcast clouds
59,Oshnaviyeh,IR,37.0397,45.0983,43.05,40,75,2.21,broken clouds
60,Bathsheba,BB,13.2167,-59.5167,84.81,65,20,18.41,few clouds
61,Sorland,NO,67.667,12.6934,41.07,63,50,28.95,scattered clouds
62,Pisco,PE,-13.7,-76.2167,68.05,77,75,1.14,haze
63,Victoria,HK,22.2855,114.1577,76.21,81,7,1.01,clear sky
64,Mahebourg,MU,-20.4081,57.7,80.89,65,20,10.36,light rain
65,Omboue,GA,-1.5746,9.2618,82.53,76,80,8.46,light rain
66,Mataura,NZ,-46.1927,168.8643,55.49,59,100,6.08,overcast clouds
67,Port Hardy,CA,50.6996,-127.4199,42.8,93,1,5.75,clear sky
68,Tshikapa,CD,-6.4167,20.8,87.17,55,69,2.55,broken clouds
69,San Patricio,US,28.017,-97.5169,57.83,51,1,7.96,clear sky
70,Huntsville,US,34.7304,-86.5861,39.2,75,1,1.01,clear sky
71,Atuona,PF,-9.8,-139.0333,77.27,75,6,12.19,clear sky
72,Vernon,CA,50.2581,-119.2691,35.13,85,97,0.0,light snow
73,Kununurra,AU,-15.7667,128.7333,84.18,58,4,8.05,clear sky
74,Vaini,TO,-21.2,-175.2,68.16,100,75,1.14,broken clouds
75,Talnakh,RU,69.4865,88.3972,3.94,96,100,5.7,overcast clouds
76,Aklavik,CA,68.2191,-135.0107,7.63,83,100,12.93,overcast clouds
77,Cayenne,GF,4.9333,-52.3333,86.04,81,90,1.99,overcast clouds
78,Tual,ID,-5.6667,132.75,83.52,70,73,3.13,broken clouds
79,Mareeba,AU,-17.0,145.4333,69.48,87,0,2.35,clear sky
80,Hithadhoo,MV,-0.6,73.0833,82.04,78,88,17.36,overcast clouds
81,Albany,US,42.6001,-73.9662,39.58,67,30,11.01,scattered clouds
82,Ust-Kuyga,RU,70.0167,135.6,-7.19,100,100,3.4,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,69.3,79,50,9.4,scattered clouds
84,Banda Aceh,ID,5.5577,95.3222,79.88,78,100,10.22,overcast clouds
85,Kem,RU,64.9555,34.5793,32.25,80,75,15.97,broken clouds
86,New Norfolk,AU,-42.7826,147.0587,53.1,68,100,0.56,overcast clouds
87,Frohnleiten,AT,47.2667,15.3167,55.38,63,81,3.94,broken clouds
88,Longyearbyen,SJ,78.2186,15.6401,12.04,67,20,19.57,few clouds
89,Preobrazheniye,RU,42.9019,133.9064,32.72,62,2,5.73,clear sky
90,Cape Town,ZA,-33.9258,18.4232,73.11,45,0,25.32,clear sky
91,Huarmey,PE,-10.0681,-78.1522,66.88,80,22,7.34,few clouds
92,Valparaiso,CL,-33.0393,-71.6273,60.48,71,51,6.51,broken clouds
