City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-11-15 23:40:08,-53.15,-70.9167,48.31,46,20,26.46
1,Cape Town,ZA,2021-11-15 23:39:23,-33.9258,18.4232,67.08,76,75,9.22
2,Verkhnyaya Inta,RU,2021-11-15 23:40:08,65.9811,60.3094,18.41,95,100,12.95
3,Saint George,US,2021-11-15 23:40:09,37.1041,-113.5841,76.35,23,1,0.0
4,La Ciotat,FR,2021-11-15 23:40:09,43.1748,5.6045,57.81,92,91,9.22
5,Cusset,FR,2021-11-15 23:40:09,46.13,3.4596,44.94,97,100,1.59
6,Hilo,US,2021-11-15 23:38:45,19.7297,-155.09,86.29,90,90,11.5
7,Carnarvon,AU,2021-11-15 23:40:10,-24.8667,113.6333,69.87,68,40,10.36
8,Khatanga,RU,2021-11-15 23:40:10,71.9667,102.5,-28.41,100,69,3.69
9,Rikitea,PF,2021-11-15 23:40:10,-23.1203,-134.9692,73.49,86,98,12.28
10,Cabo San Lucas,MX,2021-11-15 23:40:10,22.8909,-109.9124,85.51,66,99,1.99
11,Mandera,KE,2021-11-15 23:40:11,3.9366,41.867,80.38,63,84,10.78
12,Vaini,TO,2021-11-15 23:40:11,-21.2,-175.2,82.56,78,20,10.36
13,Mataura,NZ,2021-11-15 23:40:11,-46.1927,168.8643,61.2,39,66,11.86
14,Talaya,RU,2021-11-15 23:40:12,61.3833,152.75,4.64,95,100,4.05
15,Lac Du Bonnet,CA,2021-11-15 23:40:12,50.2536,-96.0612,26.42,91,98,7.47
16,Beyneu,KZ,2021-11-15 23:40:12,45.3167,55.2,35.4,71,100,8.86
17,Bluff,NZ,2021-11-15 23:40:12,-46.6,168.3333,53.04,66,92,20.83
18,Bredasdorp,ZA,2021-11-15 23:40:13,-34.5322,20.0403,62.28,89,99,5.64
19,Ketchikan,US,2021-11-15 23:40:13,55.3422,-131.6461,37.87,81,75,3.44
20,Busselton,AU,2021-11-15 23:40:13,-33.65,115.3333,63.05,73,24,8.46
21,Teluknaga,ID,2021-11-15 23:36:54,-6.0989,106.6381,82.63,83,20,11.01
22,Bethel,US,2021-11-15 23:40:14,41.3712,-73.414,45.19,74,38,3.0
23,Sao Filipe,CV,2021-11-15 23:40:14,14.8961,-24.4956,75.97,78,98,6.71
24,Fairbanks,US,2021-11-15 23:40:14,64.8378,-147.7164,-2.24,77,90,0.0
25,Hermanus,ZA,2021-11-15 23:40:15,-34.4187,19.2345,63.9,88,100,6.4
26,Arraial Do Cabo,BR,2021-11-15 23:36:57,-22.9661,-42.0278,72.0,73,39,20.4
27,Korneuburg,AT,2021-11-15 23:40:15,48.35,16.3333,47.37,89,25,3.0
28,Druzhba,UA,2021-11-15 23:40:15,52.0428,33.9453,26.37,79,19,4.94
29,Hithadhoo,MV,2021-11-15 23:40:16,-0.6,73.0833,82.33,72,44,16.67
30,Georgetown,MY,2021-11-15 23:39:46,5.4112,100.3354,79.9,92,20,1.99
31,Vryburg,ZA,2021-11-15 23:40:16,-26.9566,24.7284,73.98,19,0,8.12
32,Albany,US,2021-11-15 23:40:16,42.6001,-73.9662,39.22,77,73,1.99
33,Ballina,AU,2021-11-15 23:40:17,-28.8667,153.5667,77.77,37,79,9.22
34,Havoysund,NO,2021-11-15 23:40:17,70.9963,24.6622,41.88,81,98,24.18
35,Talara,PE,2021-11-15 23:40:17,-4.5772,-81.2719,66.96,77,0,18.41
36,Okhotsk,RU,2021-11-15 23:40:18,59.3833,143.3,14.14,86,97,14.36
37,Paamiut,GL,2021-11-15 23:40:18,61.994,-49.6678,7.97,73,0,5.73
38,Qrendi,MT,2021-11-15 23:40:18,35.8347,14.4583,60.12,100,20,2.3
39,Padang,ID,2021-11-15 23:40:18,-0.9492,100.3543,76.42,74,100,4.0
40,Tabas,IR,2021-11-15 23:40:19,33.5959,56.9244,54.36,32,87,1.68
41,Lebu,CL,2021-11-15 23:40:19,-37.6167,-73.65,52.65,71,1,19.95
42,Talnakh,RU,2021-11-15 23:40:19,69.4865,88.3972,2.1,96,100,11.95
43,Shitanjing,CN,2021-11-15 23:41:19,39.2342,106.3439,33.3,31,2,1.5
44,Urumqi,CN,2021-11-15 23:41:20,43.801,87.6005,27.55,93,73,2.24
45,Codrington,AU,2021-11-15 23:41:20,-38.2667,141.9667,54.54,62,100,6.44
46,Ushuaia,AR,2021-11-15 23:40:25,-54.8,-68.3,46.06,61,40,25.32
47,Port-Cartier,CA,2021-11-15 23:41:20,50.0334,-66.8654,34.02,94,100,8.55
48,Ponta Do Sol,PT,2021-11-15 23:41:21,32.6667,-17.1,66.83,69,100,4.07
49,Saint-Philippe,RE,2021-11-15 23:41:21,-21.3585,55.7679,72.99,83,50,4.12
50,Ribeira Grande,PT,2021-11-15 23:41:21,38.5167,-28.7,68.22,83,10,15.57
51,Asfi,MA,2021-11-15 23:41:22,32.2994,-9.2372,60.82,79,0,10.16
52,Ola,RU,2021-11-15 23:41:22,59.5833,151.2833,19.15,75,100,12.75
53,Coihaique,CL,2021-11-15 23:41:22,-45.5752,-72.0662,53.55,40,20,6.91
54,Moanda,GA,2021-11-15 23:41:22,-1.5575,13.2178,68.67,98,44,1.63
55,Charleston,US,2021-11-15 23:37:42,32.7766,-79.9309,56.01,69,1,0.0
56,Bonthe,SL,2021-11-15 23:41:23,7.5264,-12.505,79.0,80,64,1.97
57,Grindavik,IS,2021-11-15 23:41:23,63.8424,-22.4338,37.87,65,40,28.77
58,Baiyin,CN,2021-11-15 23:41:23,36.5583,104.2081,22.08,39,94,1.48
59,Margate,GB,2021-11-15 23:41:24,51.3813,1.3862,51.69,82,86,7.96
60,Matay,EG,2021-11-15 23:41:24,28.419,30.7792,66.24,59,52,7.49
61,Kawalu,ID,2021-11-15 23:41:24,-7.3817,108.2082,72.52,94,100,0.87
62,Glenn Heights,US,2021-11-15 23:41:25,32.5488,-96.8567,78.42,64,1,1.99
63,Castro,BR,2021-11-15 23:41:25,-24.7911,-50.0119,62.1,86,75,6.62
64,Vicuna,CL,2021-11-15 23:41:25,-30.0319,-70.7081,74.77,41,0,1.5
65,Chuy,UY,2021-11-15 23:41:26,-33.6971,-53.4616,66.54,91,2,10.78
66,Youghal,IE,2021-11-15 23:41:26,51.95,-7.8506,50.02,100,75,2.3
67,Mayya,RU,2021-11-15 23:41:26,61.7333,130.2811,-15.99,99,82,1.16
68,Broken Hill,AU,2021-11-15 23:41:26,-31.95,141.4333,56.91,44,0,12.66
69,Logan Lake,CA,2021-11-15 23:41:27,50.4998,-120.8025,44.4,98,98,6.15
70,Garissa,KE,2021-11-15 23:41:27,-0.4536,39.6401,77.58,75,37,9.98
71,Puerto Ayora,EC,2021-11-15 23:41:27,-0.7393,-90.3518,67.95,81,29,8.28
72,Jamestown,US,2021-11-15 23:41:28,42.097,-79.2353,40.59,100,90,8.01
73,Araouane,ML,2021-11-15 23:41:28,18.9048,-3.5265,75.11,27,41,9.17
74,Mar Del Plata,AR,2021-11-15 23:41:28,-38.0023,-57.5575,67.08,95,40,15.01
75,Salamiyah,SY,2021-11-15 23:41:28,35.0113,37.0532,56.88,54,37,3.8
76,Ensenada,MX,2021-11-15 23:41:29,31.8667,-116.6167,63.95,87,0,4.83
77,Qaanaaq,GL,2021-11-15 23:41:29,77.484,-69.3632,1.36,79,100,9.66
78,Laguna,US,2021-11-15 23:41:29,38.421,-121.4238,70.14,84,90,1.01
79,Shetpe,KZ,2021-11-15 23:41:30,44.1667,52.1167,33.57,76,98,9.71
80,Sitka,US,2021-11-15 23:41:30,57.0531,-135.33,39.09,70,20,8.05
81,Asau,RO,2021-11-15 23:41:30,46.4333,26.4,44.76,85,100,3.18
82,Montes Altos,BR,2021-11-15 23:41:31,-5.8333,-47.0667,74.59,91,93,3.04
83,Daan,CN,2021-11-15 23:41:31,33.0558,106.2958,47.46,78,98,1.74
84,Dalvik,IS,2021-11-15 23:41:31,65.9702,-18.5286,37.33,79,42,12.41
85,Constitucion,CL,2021-11-15 23:41:32,-35.3333,-72.4167,55.0,66,0,17.85
86,Tacuarembo,UY,2021-11-15 23:41:32,-31.7333,-55.9833,70.81,79,61,6.73
87,San Quintin,MX,2021-11-15 23:41:32,30.4833,-115.95,72.0,53,0,9.51
88,Bengkulu,ID,2021-11-15 23:41:33,-3.8004,102.2655,76.8,80,93,2.95
89,Dawlatabad,AF,2021-11-15 23:41:33,36.4141,64.9053,45.9,72,27,1.21
90,Airai,TL,2021-11-15 23:41:33,-8.9266,125.4092,68.92,58,73,4.0
91,Bodden Town,KY,2021-11-15 23:42:34,19.2833,-81.25,82.4,81,20,8.01
92,Thinadhoo,MV,2021-11-15 23:42:34,0.5333,72.9333,82.0,75,48,15.68
93,Currais Novos,BR,2021-11-15 23:42:34,-6.2608,-36.5178,75.76,75,50,20.27
94,Chatham,GB,2021-11-15 23:38:52,51.3789,0.5279,51.8,91,45,3.74
95,Sirohi,IN,2021-11-15 23:42:34,24.8833,72.8667,62.24,36,68,4.32
96,Thohoyandou,ZA,2021-11-15 23:42:35,-22.9456,30.485,71.31,67,69,4.36
97,Mahebourg,MU,2021-11-15 23:42:35,-20.4081,57.7,75.25,88,40,5.75
98,San Martin,AR,2021-11-15 23:42:35,-33.081,-68.4681,77.54,32,30,30.11
99,Uray,RU,2021-11-15 23:42:36,60.1247,64.7758,12.74,91,42,9.28
100,Blatna,CZ,2021-11-15 23:42:36,49.4249,13.8818,42.82,100,12,7.76
101,Indramayu,ID,2021-11-15 23:42:36,-6.3264,108.32,80.02,77,99,1.63
102,Korla,CN,2021-11-15 23:42:36,41.7597,86.1469,32.36,47,1,2.17
103,Ekimchan,RU,2021-11-15 23:42:37,53.0667,132.9667,1.06,96,72,2.1
104,Alexandria,EG,2021-11-15 23:42:37,31.2156,29.9553,73.36,64,40,4.61
105,Eureka,US,2021-11-15 23:42:37,40.8021,-124.1637,63.19,81,100,5.99
106,Novikovo,RU,2021-11-15 23:42:38,51.1537,37.8879,25.12,85,18,4.5
107,Jumla,NP,2021-11-15 23:42:38,29.2747,82.1838,38.75,24,0,5.12
108,Coquimbo,CL,2021-11-15 23:42:38,-29.9533,-71.3436,60.53,72,0,13.8
109,Port Alfred,ZA,2021-11-15 23:42:38,-33.5906,26.891,63.75,77,100,15.55
110,Baykit,RU,2021-11-15 23:42:39,61.67,96.37,12.27,97,99,0.16
111,Tessalit,ML,2021-11-15 23:42:39,20.1986,1.0114,72.93,25,45,7.52
112,Westport,US,2021-11-15 23:42:39,41.1415,-73.3579,46.8,65,1,5.01
113,Nikolskoye,RU,2021-11-15 23:42:40,59.7035,30.7861,32.02,74,61,10.16
114,Kemin,KG,2021-11-15 23:42:40,42.7846,75.6892,31.96,66,72,8.88
115,Xam Nua,LA,2021-11-15 23:42:40,20.4197,104.0439,60.31,96,99,1.99
116,Zhigansk,RU,2021-11-15 23:42:40,66.7697,123.3711,-26.82,100,90,2.21
117,Arman,RU,2021-11-15 23:42:41,59.7,150.1667,19.02,79,99,9.62
118,Beringovskiy,RU,2021-11-15 23:42:41,63.05,179.3167,27.97,96,100,11.61
119,Hobart,AU,2021-11-15 23:41:06,-42.8794,147.3294,56.01,59,75,1.99
120,Vardo,NO,2021-11-15 23:42:41,70.3705,31.1107,35.8,80,86,30.47
121,Kapaa,US,2021-11-15 23:42:42,22.0752,-159.319,80.58,74,90,4.0
122,Palmer,US,2021-11-15 23:42:42,42.1584,-72.3287,43.81,68,40,3.0
123,Berlevag,NO,2021-11-15 23:42:42,70.8578,29.0864,40.95,81,75,21.85
124,Batagay,RU,2021-11-15 23:42:42,67.6333,134.6333,-10.35,98,100,1.99
125,Kirakira,SB,2021-11-15 23:42:43,-10.4544,161.9205,85.73,64,71,7.78
126,Challans,FR,2021-11-15 23:42:43,46.8436,-1.8749,45.52,92,13,7.43
127,Alofi,NU,2021-11-15 23:42:43,-19.0595,-169.9187,82.29,54,75,12.66
128,East London,ZA,2021-11-15 23:42:44,-33.0153,27.9116,66.79,67,100,15.55
129,The Valley,AI,2021-11-15 23:42:44,18.217,-63.0578,82.54,74,40,12.66
130,Saskylakh,RU,2021-11-15 23:42:44,71.9167,114.0833,-27.56,100,55,3.71
131,Andenes,NO,2021-11-15 23:42:44,69.3143,16.1194,40.98,87,75,18.41
132,Oranjestad,AW,2021-11-15 23:42:34,12.524,-70.027,82.35,78,20,18.41
133,Nome,US,2021-11-15 23:42:45,64.5011,-165.4064,6.87,66,1,0.0
134,Kavaratti,IN,2021-11-15 23:42:45,10.5669,72.642,80.83,79,100,13.67
135,Meadow Lake,US,2021-11-15 23:42:45,34.8014,-106.5436,69.24,26,9,2.84
136,Barrow,US,2021-11-15 23:42:46,71.2906,-156.7887,6.82,72,90,18.41
137,Sibolga,ID,2021-11-15 23:43:46,1.7427,98.7792,76.39,81,95,3.22
138,Sorland,NO,2021-11-15 23:43:46,67.667,12.6934,46.11,85,86,26.51
139,Butaritari,KI,2021-11-15 23:43:47,3.0707,172.7902,82.33,69,94,15.9
140,Hofn,IS,2021-11-15 23:43:47,64.2539,-15.2082,40.71,80,22,28.36
141,Nagua,DO,2021-11-15 23:43:47,19.3832,-69.8474,78.85,83,20,6.91
142,Kavieng,PG,2021-11-15 23:43:47,-2.5744,150.7967,82.6,75,100,13.11
143,Alibag,IN,2021-11-15 23:43:48,18.6411,72.8792,82.47,73,96,5.66
144,Tumut,AU,2021-11-15 23:43:48,-35.3,148.2167,54.59,49,1,5.19
145,Rocha,UY,2021-11-15 23:43:48,-34.4833,-54.3333,64.42,96,13,6.98
146,Micheweni,TZ,2021-11-15 23:43:49,-4.9667,39.8333,77.32,82,36,5.64
147,Longyearbyen,SJ,2021-11-15 23:40:25,78.2186,15.6401,19.24,68,75,24.16
148,Port Elizabeth,ZA,2021-11-15 23:43:49,-33.918,25.5701,65.1,77,0,14.97
149,Bosconia,CO,2021-11-15 23:43:50,9.9689,-73.8836,78.94,81,24,5.32
150,Mersin,TR,2021-11-15 23:43:50,36.862,34.6509,49.35,29,3,4.32
151,Pasighat,IN,2021-11-15 23:43:50,28.0667,95.3333,60.31,51,10,3.31
152,Batagay-Alyta,RU,2021-11-15 23:43:50,67.8006,130.4114,-16.19,89,68,4.7
153,Wanning,CN,2021-11-15 23:43:51,18.8003,110.3967,75.2,84,95,7.52
154,Muros,ES,2021-11-15 23:43:51,42.7762,-9.0603,56.23,80,100,15.17
155,Mackay,AU,2021-11-15 23:40:30,-21.15,149.2,86.68,58,75,8.05
156,Kaitangata,NZ,2021-11-15 23:43:51,-46.2817,169.8464,62.92,39,77,9.71
157,Amberley,US,2021-11-15 23:43:52,39.2048,-84.428,40.42,80,90,3.0
158,Portland,US,2021-11-15 23:43:52,45.5234,-122.6762,54.41,84,75,1.99
159,Maceio,BR,2021-11-15 23:43:52,-9.6658,-35.7353,80.04,83,75,8.05
160,New Norfolk,AU,2021-11-15 23:43:52,-42.7826,147.0587,54.72,57,91,1.99
161,Brodokalmak,RU,2021-11-15 23:43:53,55.5748,62.082,7.7,92,76,7.34
162,Kloulklubed,PW,2021-11-15 23:43:53,7.0419,134.2556,82.9,73,88,8.52
163,Bubaque,GW,2021-11-15 23:43:53,11.2833,-15.8333,83.61,65,67,12.08
164,Pevek,RU,2021-11-15 23:43:54,69.7008,170.3133,18.19,87,100,7.96
165,Dikson,RU,2021-11-15 23:43:54,73.5069,80.5464,-12.32,94,35,4.03
166,Clyde River,CA,2021-11-15 23:43:54,70.4692,-68.5914,10.63,100,75,19.57
167,Kahului,US,2021-11-15 23:43:55,20.8947,-156.47,84.22,80,75,19.57
168,Antunez,MX,2021-11-15 23:43:55,19.0167,-102.2,78.1,50,59,1.16
169,Vangaindrano,MG,2021-11-15 23:43:55,-23.35,47.6,72.07,92,77,6.38
170,Salalah,OM,2021-11-15 23:43:55,17.0151,54.0924,73.49,56,0,3.44
171,Faya,SA,2021-11-15 23:43:56,18.3851,42.4509,59.52,78,0,2.77
172,Lavrentiya,RU,2021-11-15 23:43:56,65.5833,-171.0,15.39,90,95,7.36
173,Kralendijk,BQ,2021-11-15 23:43:56,12.15,-68.2667,80.58,83,20,13.8
174,Quatre Cocos,MU,2021-11-15 23:43:56,-20.2078,57.7625,75.09,68,69,7.07
175,Atuona,PF,2021-11-15 23:43:57,-9.8,-139.0333,77.2,78,17,10.96
176,Huarmey,PE,2021-11-15 23:43:57,-10.0681,-78.1522,64.8,84,44,8.21
177,Kollam,IN,2021-11-15 23:43:57,8.8833,76.6,76.87,87,91,0.4
178,Sosua,DO,2021-11-15 23:41:48,19.7667,-70.5167,84.18,89,20,0.0
179,Mount Isa,AU,2021-11-15 23:43:58,-20.7333,139.5,78.57,17,12,13.8
180,Hervey Bay,AU,2021-11-15 23:42:42,-25.2986,152.8535,85.03,71,23,2.21
181,Iqaluit,CA,2021-11-15 23:43:58,63.7506,-68.5145,-2.31,70,20,20.0
182,Isangel,VU,2021-11-15 23:43:58,-19.55,169.2667,84.31,74,75,5.75
183,Avarua,CK,2021-11-15 23:44:59,-21.2078,-159.775,78.85,73,20,8.05
184,Candido Mendes,BR,2021-11-15 23:44:59,-1.4467,-45.7167,75.42,93,62,3.76
185,Nanortalik,GL,2021-11-15 23:44:59,60.1432,-45.2371,19.85,62,0,33.96
